,player_id,name,current_club_id,date_of_birth,position,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,last_season,year_of_birth,age,year,total_goals,total_yellow_cards,total_red_cards,total_minutes_played,total_assists,total_games_played,performance_career,total_goals_cur_club,total_yellow_cards_cur_club,total_red_cards_cur_club,total_minutes_played_cur_club,total_assists_cur_club,total_goals_2022,total_yellow_cards_2022,total_red_cards_2022,total_minutes_played_2022,total_assists_2022,games_played_2022,performance_2022,total_goals_2020,total_yellow_cards_2020,total_red_cards_2020,total_minutes_played_2020,total_assists_2020,games_played_2020,performance_2020,improved_performance,raw_performance_score,normalised_performance_score
870,118022,Younès Belhanda,3840,1990-02-25,Attack,2000000.0,14000000.0,2024-06-30,2022,1990,32,10,30,56,4,17015,42,237,1748.6793248945148,8,4,1,1833,4,8,4,1,2302,4,36,243.29444444444445,0,0,0,469,0,10,52.59,1,1292.027579113924,18.742886463521018
871,136184,Jonas Svensson,3840,1993-03-06,Defender,3600000.0,5500000.0,2024-06-30,2022,1993,29,8,7,36,3,18020,29,208,1824.8134615384613,0,1,0,2700,4,0,5,0,5036,6,58,517.4327586206897,0,4,0,2336,2,28,243.94285714285718,1,1932.6366568776052,28.03592587391806
872,386726,Yusuf Yazici,449,1997-01-29,Attack,15000000.0,20000000.0,2023-06-30,2022,1997,25,8,46,34,2,11734,28,200,1218.1670000000001,0,1,1,321,0,13,9,1,2788,5,63,294.1253968253969,4,6,0,1302,2,38,138.8263157894737,1,1189.2579110275692,17.25205124299323
873,234124,Simon Deli,3840,1991-10-27,Defender,1000000.0,7000000.0,2024-06-30,2022,1991,31,4,3,4,1,4744,3,57,487.5728070175439,0,1,0,250,0,0,2,0,1399,1,19,148.76315789473685,0,1,0,1149,1,15,123.91,1,590.9056564799095,8.572013329352265
874,211325,Badou Ndiaye,3840,1990-10-27,Midfield,1800000.0,15000000.0,2025-06-30,2022,1990,32,9,33,45,1,16190,24,200,1651.145,3,3,0,1325,2,6,8,0,3294,6,44,342.48636363636365,2,4,0,1103,2,16,118.99375,1,1458.4364204545454,21.156907704392943
875,62049,Mame Diouf,2293,1987-12-16,Attack,750000.0,11000000.0,2023-06-30,2022,1987,35,9,61,31,0,15091,18,216,1558.936574074074,4,0,0,373,1,31,10,0,5431,4,69,567.6710144927536,22,9,0,3651,2,42,384.6428571428571,1,2015.746237347596,29.2415606885001
876,83560,Muhammet Demir,2293,1992-01-10,Attack,1500000.0,5000000.0,2024-06-30,2022,1992,30,10,57,30,0,14072,17,218,1455.3050458715595,5,2,0,1136,1,20,8,0,4974,3,67,517.8738805970149,12,5,0,2619,2,35,276.7328571428572,1,1781.3628676408262,25.841462301773554
877,127160,Benjamin Stambouli,3840,1990-08-13,Midfield,1400000.0,12000000.0,2023-06-30,2022,1990,32,10,3,41,1,16798,13,237,1707.9877637130805,1,4,0,1822,4,2,10,0,4679,8,62,482.44677419354844,1,6,0,2857,4,36,297.48611111111114,1,1875.306404257974,27.204260642351063
878,204049,Endri Cekici,2293,1996-11-23,Attack,4500000.0,5000000.0,2023-06-30,2022,1996,26,4,10,11,1,5107,8,84,529.5297619047619,4,2,0,1521,5,10,10,1,4243,6,70,441.26142857142855,6,8,1,2722,1,40,284.555,1,1211.2889468864469,17.571645971814647
879,265542,Semih Güler,3840,1994-11-30,Defender,800000.0,800000.0,2025-06-30,2022,1994,28,4,0,5,0,1668,1,31,174.13064516129032,0,2,0,827,1,0,4,0,1083,1,24,114.31250000000001,0,2,0,256,0,6,29.96666666666667,1,288.57216781874047,4.186191893572481
880,291750,Soner Dikmen,2293,1993-09-01,Midfield,2800000.0,2800000.0,2024-06-30,2022,1993,29,5,4,15,0,6979,5,101,714.5099009900991,1,6,0,2537,4,4,13,0,5710,5,79,586.0278481012658,3,7,0,3173,1,44,328.5613636363636,1,1564.9442931798635,22.70197144624498
881,517376,Yusuf Sari,3840,1998-11-20,Attack,2500000.0,2500000.0,2025-06-30,2022,1998,24,6,10,14,0,3504,7,96,367.70000000000005,0,2,0,511,2,5,7,0,2194,5,65,231.67538461538462,2,4,0,964,1,37,103.35540540540542,1,634.8434823284824,9.20940040579419
